id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53534061,Home in Denver · ★4.75 · 4 bedrooms · 5 beds · 2 baths,433505084,Neguse,,Hilltop,39.72087,-104.9399,Entire home/apt,442,3,8,2023-08-27,0.34,1,90,4,2021-BFN-0009612
905916882278232111,Home in Denver · ★4.95 · 2 bedrooms · 2 beds · 1 bath,161416242,ELEVATE Short Term Rentals,,West Highland,39.76706381823174,-105.03525943712249,Entire home/apt,120,1,21,2023-12-03,3.15,2,338,21,2023-BFN-0002887
994204373200968550,Home in Denver · 4 bedrooms · 4 beds · 5.5 baths,121718072,Evolve,,West Highland,39.76612,-105.04722,Entire home/apt,719,2,1,2023-11-05,0.55,82,119,1,2021-BFN-0002758
37780480,Townhouse in Denver · ★4.99 · 2 bedrooms · 4 beds · 2.5 baths,10560907,Johnny,,West Colfax,39.74271,-105.0414,Entire home/apt,150,29,160,2023-11-26,3.17,1,271,65,2019-BFN-0010236
50119630,Guest suite in Denver · ★4.93 · 1 bedroom · 1 bed · 1 bath,404414089,Cody,,Sloan Lake,39.74902,-105.03672,Entire home/apt,64,1,192,2023-12-08,6.30,1,258,70,2021-BFN-0004114
20831334,Bungalow in Denver · ★4.75 · 1 bedroom · 2 beds · 1 bath,65133406,Michael,,Berkeley,39.77287,-105.03004,Entire home/apt,125,2,112,2023-07-16,1.46,1,347,5,2021-BFN-0000595
797317090675594547,Home in Denver · ★4.80 · 2 bedrooms · 2 beds · 1 bath,23419125,Amy,,University,39.68453,-104.96976,Entire home/apt,177,2,10,2023-12-03,2.61,1,24,10,2023-BFN-0001499
42807831,Townhouse in Denver · ★4.87 · 3 bedrooms · 4 beds · 3.5 baths,549467325,Jorge,,Sloan Lake,39.74681,-105.02701,Entire home/apt,224,2,149,2023-11-20,3.47,1,331,31,2020-BFN-0003227
51751657,Condo in Denver · ★5.0 · 1 bedroom · 1 bed · 1 bath,229416868,Janna,,Union Station,39.75353,-105.00579,Entire home/apt,68,29,10,2023-12-04,0.37,1,285,5,
827508193352323167,Home in Denver · ★5.0 · 3 bedrooms · 3 beds · 2 baths,34660476,Amber,,Hale,39.73826,-104.92612,Entire home/apt,125,2,10,2023-09-03,1.08,1,95,10,2023-BFN-0004934
48155348,Townhouse in Denver · ★5.0 · 2 bedrooms · 2 beds · 3 baths,28495872,Andrew,,West Highland,39.75954,-105.05201,Entire home/apt,249,2,9,2023-09-04,0.30,1,14,7,2021-BFN-0000660
16216415,Home in Denver · ★4.96 · 1 bedroom · 1 bed · 1.5 shared baths,105950282,Kristen,,Platt Park,39.68814,-104.97679,Private room,110,1,57,2023-03-19,0.70,2,353,1,2017-BFN-0001581
38131216,Home in Denver · ★5.0 · 4 bedrooms · 5 beds · 2 baths,113548566,Kiah,,West Highland,39.76469721846481,-105.03286626542625,Entire home/apt,251,2,7,2023-11-27,2.96,1,136,7,2023-BFN-0035666
851549860123322974,Condo in Denver · ★4.93 · 2 bedrooms · 3 beds · 1 bath,11019055,Cyndi,,Union Station,39.750466351416506,-104.99459428089028,Entire home/apt,467,2,14,2023-11-12,1.94,1,287,14,2023-BFN-0006976
3810191,Bungalow in Denver · ★4.72 · 2 bedrooms · 3 beds · 1 bath,7879432,Cathy,,Berkeley,39.77321,-105.02888,Entire home/apt,125,3,47,2023-10-07,0.41,2,56,3,2022-BFN-0010747
16163913,Guest suite in Denver · ★4.92 · 1 bedroom · 1 bed · 1 bath,4321221,Molly,,North Park Hill,39.7579,-104.93859,Entire home/apt,103,1,381,2023-12-13,4.49,1,0,11,2017-BFN-0001152
29830102,Guesthouse in Denver · ★4.98 · 2 bedrooms · 2 beds · 1 bath,1750207,Kimberly & Marke,,West Highland,39.76195,-105.03986,Entire home/apt,241,2,266,2023-12-14,4.47,2,173,42,2019-BFN-0002827
648712373755402746,Townhouse in Denver · 2 bedrooms · 1 bed · 1 bath,124312923,Miguel,,Five Points,39.75487,-104.97809,Entire home/apt,67,30,1,2022-12-27,0.08,1,237,0,
5184333,Condo in Denver · ★4.71 · 2 bedrooms · 5 beds · 2 baths,10751081,Beatrice (Bia),,Capitol Hill,39.73579,-104.98047,Entire home/apt,99,60,14,2022-08-13,0.14,2,240,0,
42065332,Home in Denver · ★4.95 · 3 bedrooms · 5 beds · 2 baths,36403245,Kathryn,,Five Points,39.75654,-104.98182,Private room,199,29,22,2023-06-28,0.48,3,352,5,2021-BFN-0001489
917336938828518341,Rental unit in Denver · ★5.0 · 1 bedroom · 1 bed · 1 bath,146909035,Jb,,Highland,39.7639027,-105.0171853,Entire home/apt,107,2,9,2023-11-12,1.74,1,313,9,2023-BFN-0022293
1045093426298246437,Rental unit in Denver · ★New · 1 bedroom · 1 bed · 1 bath,98028872,Sandy,,Sloan Lake,39.75065,-105.03012,Entire home/apt,90,90,0,,,1,262,0,
44183597,Rental unit in Denver · ★4.47 · 1 bedroom · 1 bed · 1 shared bath,12644994,Aleksej,,Speer,39.71492,-104.97658,Private room,41,29,19,2023-11-18,0.45,1,145,3,
958960538956547887,Home in Denver · ★5.0 · 1 bedroom · 1 bed · 1 bath,9336810,Taylor,,Congress Park,39.73050690482391,-104.94609658396126,Entire home/apt,100,3,9,2023-12-19,4.43,1,140,9,2023-BFN-0031269
788314855550328339,Townhouse in Denver · ★4.63 · 2 bedrooms · 2 beds · 2.5 baths,121718865,Evolve,,Sunnyside,39.76955,-105.02276,Entire home/apt,333,3,8,2023-09-30,0.96,2,358,8,2022-BFN-0012400
755787029245945130,Home in Denver · ★4.98 · 3 bedrooms · 3 beds · 3.5 baths,406372410,Manuel,,West Colfax,39.7355057,-105.0379231,Entire home/apt,249,1,52,2023-12-19,4.60,1,354,52,2022-BFN-0015257
6730800,Townhouse in Denver · ★4.88 · 2 bedrooms · 2 beds · 1 bath,29623887,Nikki,,Baker,39.71819,-104.99031,Entire home/apt,189,2,270,2023-10-08,2.60,1,346,17,2022-BFN-0008349
